name,symbol,usym,gecko
Bitcoin,BTC-USD,₿,bitcoin
Ethereum,ETH-USD,Ξ,ethereum
Cardano,ADA-USD,₳,cardano
XRP,XRP-USD,✕,ripple
Solana,SOL-USD,◎,solana
Polkadot,DOT-USD,●,polkadot
Dogecoin,DOGE-USD,Ð,dogecoin
Dai,DAI-USD,◈,dai
Litecoin,LTC-USD,Ł,litecoin
Algorand,ALGO-USD,Ⱥ,algorand
Bitcoin Cash,BCH-USD,Ƀ,bitcoin-cash
ECOMI,OMI-USD,Ο,ecomi
Internet Computer,ICP-USD,∞,internet-computer
Ethereum Classic,ETC-USD,ξ,ethereum-classic
Monero,XMR-USD,ɱ,monero
Tezos,XTZ-USD,ꜩ,tezos
Iota,MIOTA-USD,ɨ,iota
EOS,EOS-USD,ε,eos
Bitcoin SV,BSV-USD,Ɓ,bitcoin-cash-sv
Maker,MKR-USD,Μ,maker
Zcash,ZEC-USD,ⓩ,zcash
Dash,DASH-USD,Đ,dash
Nano,XNO-USD,Ӿ,nano
Augur,REP-USD,Ɍ,augur
Steem,STEEM-USD,ȿ,steem
